Temperature_K,SOC,Frequency_Hz,Re_Z,Im_Z,,
263.15,0.1,0.001,0.019984408733084845,-0.005062697,,
263.15,0.1,0.001167419,0.019721069778440722,-0.004671138,,
263.15,0.1,0.001362868,0.019447982614229527,-0.004314277,,
263.15,0.1,0.001591038,0.019173544157306738,-0.003981848,,
263.15,0.1,0.001857409,0.018905758064140486,-0.003667607,,
263.15,0.1,0.002168375,0.018651266374571082,-0.003368604,,
263.15,0.1,0.002531403,0.018414806901577492,-0.003084188,,
263.15,0.1,0.002955209,0.018199123844616527,-0.002815013,,
263.15,0.1,0.003449968,0.018005193827994793,-0.00256225,,
263.15,0.1,0.00402756,0.017832591,-0.002327054,,
263.15,0.1,0.004701851,0.017679882724807347,-0.002110225,,
263.15,0.1,0.005489032,0.017545016710092017,-0.001912028,,
263.15,0.1,0.006408003,0.017425680668747293,-0.001732146,,
263.15,0.1,0.007480826,0.017319597095772712,-0.00156975,,
263.15,0.1,0.008733262,0.017224722209018592,-0.001423643,,
263.15,0.1,0.010195378685327302,0.017139340484477263,-0.001292433,,
263.15,0.1,0.011902282,0.017062073594890627,-0.001174681,,
263.15,0.1,0.013894954943731374,0.016991836735892118,-0.00106901,,
263.15,0.1,0.016221239,0.016927775,-0.000974165,,
263.15,0.1,0.018936989,0.016869199,-0.000889032,,
263.15,0.1,0.022107407427431246,0.016815538926433112,-0.00081264,,
263.15,0.1,0.025808615,0.016766302,-0.000744147,,
263.15,0.1,0.030129477247269904,0.016721055096542863,-0.00068282,,
263.15,0.1,0.035173735,0.016679408264339658,-0.00062802,,
263.15,0.1,0.041062499,0.01664101,-0.000579192,,
263.15,0.1,0.047937156455582164,0.016605543832286213,-0.000535852,,
263.15,0.1,0.055962764,0.01657272,-0.000497587,,
263.15,0.1,0.065332015,0.016542273682458142,-0.000464045,,
263.15,0.1,0.076269859,0.016513963,-0.000434933,,
263.15,0.1,0.089038909,0.016487561335236697,-0.000410017,,
263.15,0.1,0.10394574653722626,0.016462856353717793,-0.000389115,,
263.15,0.1,0.12134827677491432,0.016439646,-0.0003721,,
263.15,0.1,0.14166432746690208,0.016417735276369864,-0.000358896,,
263.15,0.1,0.1653816783395673,0.016396932365106212,-0.000349479,,
263.15,0.1,0.19306977288832497,0.016377045,-0.000343879,,
263.15,0.1,0.22539339047347912,0.016357873792665362,-0.00034218,,
263.15,0.1,0.2631286073895942,0.016339210316575363,-0.000344523,,
263.15,0.1,0.30718143012686966,0.016320827,-0.000351107,,
263.15,0.1,0.3586095482011829,0.01630247,-0.000362192,,
263.15,0.1,0.41864772882899515,0.016283850705577918,-0.0003781,,
263.15,0.1,0.4887374631624422,0.016264632406704713,-0.000399222,,
263.15,0.1,0.5705615758781021,0.016244416,-0.000426011,,
263.15,0.1,0.6660846290809154,0.016222721,-0.000458989,,
263.15,0.1,0.7776000906038036,0.016198963788107406,-0.000498737,,
263.15,0.1,0.9077853991937549,0.016172431526867308,-0.000545891,,
263.15,0.1,1.0597662486760708,0.016142247857901717,-0.000601127,,
263.15,0.1,1.2371916345321594,0.016107337,-0.000665129,,
263.15,0.1,1.4443214647272804,0.016066384687109525,-0.000738557,,
263.15,0.1,1.6861288382868804,0.016017792993375832,-0.000821978,,
263.15,0.1,1.9684194472866112,0.015959647705012896,-0.000915788,,
263.15,0.1,2.2979709690469625,0.015889694,-0.001020091,,
263.15,0.1,2.6826957952797246,0.015805346648129836,-0.001134548,,
263.15,0.1,3.1318310052438445,0.015703742,-0.001258198,,
263.15,0.1,3.6561601440851934,0.015581875613015488,-0.001389258,,
263.15,0.1,4.268272131163821,0.015436829299434466,-0.001524927,,
263.15,0.1,4.982863514647301,0.015266118993514257,-0.001661268,,
263.15,0.1,5.817091329374358,0.015068144,-0.001793192,,
263.15,0.1,6.790985029955707,0.014842690219900603,-0.001914664,,
263.15,0.1,7.9279273894505975,0.014591390431189344,-0.002019135,,
263.15,0.1,9.255215909791344,0.014318003,-0.002100223,,
263.15,0.1,10.804718223181286,0.014028382281148803,-0.00215253,,
263.15,0.1,12.613637220374423,0.013730076228279278,-0.002172444,,
263.15,0.1,14.725404276241209,0.013431574150008542,-0.002158714,,
263.15,0.1,17.190722018585745,0.013141359092136352,-0.002112665,,
263.15,0.1,20.068781676649664,0.012866962294537229,-0.002037981,,
263.15,0.1,23.428684237322305,0.012614221,-0.00194013,,
